"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XXII","22nd Century Group, Inc","1.03","$73M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","4.5","$1.2B","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","5.29","$121.34M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iaf",
"CH","Aberdeen Chile Fund, Inc.","6.08","$57.07M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch",
"ABE           ","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","10.8075","$105.53M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abe           ",
"FCO","Aberdeen Global Income Fund, Inc.","7.69","$69.26M","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco",
"IF","Aberdeen Indonesia Fund, Inc.","5.68","$53.88M","1990","n/a","n/a","http://www.nasdaq.com/symbol/if",
"ISL","Aberdeen Israel Fund, Inc.","18.5","$75.29M","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl",
"ACU","Acme United Corporation.","17.25","$57.72M","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"AIII","ACRE Realty Investors, Inc.","1.4","$28.1M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii",
"ATNM","Actinium Pharmaceuticals, Inc.","2.23","$90.62M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atnm",
"AE","Adams Resources & Energy, Inc.","43.3","$182.62M","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"ADK","Adcare Health Systems Inc","3.47","$68.98M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk",
"ADK^A","Adcare Health Systems Inc","24.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a",
"ACY","AeroCentury Corp.","12.1499","$18.75M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"WGA","AG&E Holdings, Inc.","0.92","$10.75M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/wga",
"AIRI","Air Industries Group","8.4","$63.5M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi",
"AA^","Alcoa Inc.","82.1","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^",
"AXX","Alderon Iron Ore Corp.","0.1336","$17.65M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axx",
"AXU","Alexco Resource Corp","0.31","$21.57M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"AAU","Almaden Minerals, Ltd.","0.511","$37.38M","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","2.08","$38.24M","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt",
"ALTV","Alteva (D/B/A)","4.529","$27.18M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/altv",
"AAMC","Altisource Asset Management Corp","32.6","$71.96M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc",
"DIT","AMCON Distributing Company","82.6868","$50.92M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit",
"APP","American Apparel Inc","0.181","$32.99M","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/app",
"ADGE","American DG Energy Inc.","0.2799","$14.19M","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/adge",
"ALN","American Lorain Corporation","1.46","$55.86M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMS","American Shared Hospital Services","2.18","$11.69M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",
"AMPE","Ampio Pharmaceuticals, Inc.","3.01","$156.51M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe",
"APHB","AmpliPhi Biosciences Corporation","6.79","$39.27M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aphb",
"AXN","Aoxing Pharmaceutical Company, Inc.","1.5599","$108.91M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn",
"AMCO","Armco Metals Holdings, Inc.","0.52","$4.25M","n/a","Consumer Durables","Steel/Iron Ore","http://www.nasdaq.com/symbol/amco",
"HRT","Arrhythmia Research Technology Inc.","6.02","$16.77M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt",
"AKG","Asanko Gold Inc.","1.62","$318.89M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg",
"AINC","Ashford Inc.","73.75","$146.75M","2014","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ainc",
"ASB.WS","Associated Banc-Corp","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asb.ws",
"AST","Asterias Biotherapeutics, Inc.","4.53","$170.34M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ast",
"AWX","Avalon Holdings Corporation","1.94","$7.38M","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"AVL","Avalon Rare Metals, Inc.","0.124","$18.95M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/avl",
"ASM","Avino Silver","0.9599","$35M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm",
"BTG","B2Gold Corp","1.28","$1.19B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/btg",
"BTN","Ballantyne Strong, Inc","4.74","$67.01M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BKJ","Bancorp of New Jersey, Inc","11.07","$69.08M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bkj",
"BCV","Bancroft Fund Limited","19.53","$100.21M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcv",
"BAA","BANRO CORPORATION","0.18","$45.39M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/baa",
"BHB","Bar Harbor Bankshares, Inc.","32.22","$192.97M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bhb",
"BRN","Barnwell Industries, Inc.","1.8801","$15.56M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"BIR^A","Berkshire Income Realty, Inc.","27.881","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bir^a",
"BGSF","BG Staffing Inc","12.24","$90.45M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/bgsf",
"BPMX","BioPharmX Corporation","1.45","$17.55M","2015","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/bpmx",
"BTX","BioTime, Inc.","3.22","$268.17M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/btx",
"BTX.WS","BioTime, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/btx.ws",
"BGI","Birks Group Inc.","0.92","$9.42M","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/bgi",
"BZM","BlackRock Maryland Municipal Bond Trust","14.69","$30.47M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bzm",
"MHE","BlackRock Massachusetts Tax-Exempt Trust","13.31","$31.47M","1993","n/a","n/a","http://www.nasdaq.com/symbol/mhe",
"BLE","BlackRock Municipal Income Trust II","14.38","$337.5M","2002","n/a","n/a","http://www.nasdaq.com/symbol/ble",
"BLJ","Blackrock New Jersey Municipal Bond Trust","14.05","$32.67M","2002","n/a","n/a","http://www.nasdaq.com/symbol/blj",
"BFY","BlackRock New York Municipal Income Trust II","14.21","$71.03M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bfy",
"BHV","BlackRock Virginia Municipal Bond Trust","16.6568","$26.51M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bhv",
"BDR","Blonder Tongue Laboratories, Inc.","0.6101","$3.82M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr",
"BRG","Bluerock Residential Growth REIT, Inc.","10.99","$214.91M","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brg",
"BVX","Bovie Medical Corporation","2.4","$65.27M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bvx",
"BWL.A","Bowl America, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bwl.a",
"BZC","Breeze-Eastern Corporation","13.99","$137.93M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/bzc",
"BTI","British American Tobacco p.l.c.","102.83","$95.85B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/bti",
"CANF","Can-Fite Biopharma Ltd","1.79","$19.08M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/canf",
"ROX","Castle Brands, Inc.","1.25","$199.79M","2006","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/rox",
"CAW","CCA Industries, Inc.","2.5501","$17.87M","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/caw",
"CVM","Cel-Sci Corporation","0.54","$60.52M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cvm",
"CVM.WS","Cel-Sci Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cvm.ws",
"CEF","Central Fund of Canada Limited","10.8","$2.75B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cef",
"GTU","Central Gold Trust","38.64","$745.71M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gtu",
"CET","Central Securities Corporation","19.6","$476.49M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cet",
"LEU","Centrus Energy Corp.","3.5","$31.5M","2014","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/leu",
"CCF","Chase Corporation","38.1","$350.47M","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ccf",
"CQH","Cheniere Energy Partners LP Holdings, LLC","20.96","$4.86B","2013","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqh",
"CQP","Cheniere Energy Partners, LP","29.12","$9.84B","2007","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqp",
"LNG","Cheniere Energy, Inc.","56.1","$13.27B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/lng",
"CVR","Chicago Rivet & Machine Co.","26.9898","$26.08M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvr",
"CNR","China Metro-Rural Holdings Limited","1.1399","$83.83M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cnr",
"CPHI","China Pharma Holdings, Inc.","0.1984","$8.65M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cphi",
"CKX","CKX Lands, Inc.","11.47","$22.28M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ckx",
"GLV","Clough Global Allocation Fund","13.5847","$141.7M","2004","n/a","n/a","http://www.nasdaq.com/symbol/glv",
"GLQ","Clough Global Equity Fund","13.35","$237.89M","2005","n/a","n/a","http://www.nasdaq.com/symbol/glq",
"GLO","Clough Global Opportunities Fund","11.14","$575.94M","2006","n/a","n/a","http://www.nasdaq.com/symbol/glo",
"MOC","Command Security Corporation","1.75","$17.04M","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/moc",
"CIX","CompX International Inc.","10.9299","$135.65M","1998","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cix",
"LODE","Comstock Mining, Inc.","0.6099","$56.51M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/lode",
"CTO","Consolidated-Tomoka Land Co.","53.25","$319.2M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cto",
"MCF","Contango Oil & Gas Company","9.42","$182.94M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcf",
"CUO","Continental Materials Corporation","14.71","$24.45M","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cuo",
"CMT","Core Molding Technologies Inc","19.43","$149.79M","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/cmt",
"CVRS","Corindus Vascular Robotics, Inc.","3.35","$397.09M","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cvrs",
"CRMD","CorMedix Inc","2.56","$87.63M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crmd",
"CRF","Cornerstone Strategic Return Fund, Inc. (The)","17.28","$77.36M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/crf",
"CLM","Cornerstone Strategic Value Fund, Inc.","17.29","$141.69M","1987","n/a","n/a","http://www.nasdaq.com/symbol/clm",
"CVU","CPI Aerostructures, Inc.","9.76","$83.59M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/cvu",
"CIK","Credit Suisse Asset Management Income Fund, Inc.","2.9016","$151.63M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cik",
"DHY","Credit Suisse High Yield Bond Fund","2.325","$232.25M","1998","n/a","n/a","http://www.nasdaq.com/symbol/dhy",
"CRVP","Crystal Rock Holdings, Inc.","0.77","$16.45M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/crvp",
"CVSL","CVSL Inc.","1.78","$61.17M","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cvsl",
"DAKP","Dakota Plains Holdings, Inc.","0.855","$47.11M","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/dakp",
"DXR","Daxor Corporation","6.48","$25.04M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxr",
"DEJ","Dejour Energy Inc.","0.1063","$19.4M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dej",
"VCF","Delaware Investments Colorado Municipal Income Fund, Inc","13.8148","$66.82M","1993","n/a","n/a","http://www.nasdaq.com/symbol/vcf",
"VFL","Delaware Investments Florida Insured Municipal Income Fund","12.72","$57.6M","1993","n/a","n/a","http://www.nasdaq.com/symbol/vfl",
"VMM","Delaware Investments Minnesota Municipal Income Fund II, Inc.","13.03","$149.91M","1993","n/a","n/a","http://www.nasdaq.com/symbol/vmm",
"DLA","Delta Apparel, Inc.","15.7","$123.23M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/dla",
"DNN","Denison Mine Corp","0.4721","$244.75M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/dnn",
"DGSE","DGSE Companies, Inc.","0.35","$4.3M","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/dgse",
"DPW","Digital Power Corporation","0.87","$5.9M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dpw",
"DSS","Document Security Systems, Inc.","0.1905","$8.82M","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/dss",
"DMF","Dreyfus Municipal Income, Inc.","9.2","$190.62M","1988","n/a","n/a","http://www.nasdaq.com/symbol/dmf",
"GRF","Eagle Capital Growth Fund, Inc.","7.75","$24.22M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grf",
"ESTE","Earthstone Energy, Inc.","15.35","$212.37M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/este",
"EVM","Eaton Vance California Municipal Bond Fund","11.39","$243.65M","2002","n/a","n/a","http://www.nasdaq.com/symbol/evm",
"EIA","Eaton Vance California Municipal Bond Fund II","12.43","$48.3M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eia",
"CEV","Eaton Vance California Municipal Income Trust","12.85","$93.22M","1999","n/a","n/a","http://www.nasdaq.com/symbol/cev",
"EVV","Eaton Vance Limited Duration Income Fund","13.32","$1.57B","2003","n/a","n/a","http://www.nasdaq.com/symbol/evv",
"MAB","Eaton Vance Massachusetts Municipal Bond Fund","13.74","$24.3M","2002","n/a","n/a","http://www.nasdaq.com/symbol/mab",
"MMV","Eaton Vance Massachusetts Municipal Income Trust","13.35","$36.54M","1999","n/a","n/a","http://www.nasdaq.com/symbol/mmv",
"MIW","Eaton Vance Michigan Municipal Bond Fund","13.1486","$19.72M","2002","n/a","n/a","http://www.nasdaq.com/symbol/miw",
"EMI","Eaton Vance Michigan Municipal Income Trust","12.48","$25.38M","1999","n/a","n/a","http://www.nasdaq.com/symbol/emi",
"EIM","Eaton Vance Municipal Bond Fund","12.49","$851.42M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eim",
"EIV","Eaton Vance Municipal Bond Fund II","12.65","$126.67M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eiv",
"EMJ","Eaton Vance New Jersey Municipal Bond Fund","13.3","$34.29M","2002","n/a","n/a","http://www.nasdaq.com/symbol/emj",
"EVJ","Eaton Vance New Jersey Municipal Income Trust","12.14","$56.38M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evj",
"ENX","Eaton Vance New York Municipal Bond Fund","12.52","$196.05M","2002","n/a","n/a","http://www.nasdaq.com/symbol/enx",
"NYH","Eaton Vance New York Municipal Bond Fund II","12.1682","$31.1M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nyh",
"EVY","Eaton Vance New York Municipal Income Trust","13.34","$73.04M","1999","n/a","n/a","http://www.nasdaq.com/symbol/evy",
"EIO","Eaton Vance Ohio Municipal Bond Fund","12.3","$31.21M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eio",
