"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NRO","Neuberger Berman Real Estate Securities Income Fund, Inc.","4.48","$249.93M","2003","n/a","n/a","http://www.nasdaq.com/symbol/nro",
"UWN","Nevada Gold & Casinos, Inc.","1.65","$28.41M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/uwn",
"NSU","Nevsun Resources Ltd","2.78","$555.39M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nsu",
"GBR","New Concept Energy, Inc","1.4158","$2.76M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gbr",
"NEN","New England Realty Associates Limited Partnership","49.25","$186.54M","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/nen",
"NGD","NEW GOLD INC.","2.32","$1.18B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ngd",
"HLTH","Nobilis Health Corp.","5","$335.18M","2015","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hlth",
"NSAT","Norsat International Inc.","4.34","$25.31M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/nsat",
"NAK","Northern Dynasty Minerals, Ltd.","0.3983","$52.17M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nak",
"NOG","Northern Oil and Gas, Inc.","5.22","$321.56M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nog",
"NBY","NovaBay Pharmaceuticals, Inc.","0.4199","$30.97M","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nby",
"NCQ","NovaCopper Inc.","0.465","$48.52M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ncq",
"NG","Novagold Resources Inc.","3.53","$1.12B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ng",
"NTN","NTN Buzztime, Inc.","0.169","$15.62M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ntn",
"NVX","Nuveen California Dividend Advantage Municipal Fund 2","14.85","$219.17M","2001","n/a","n/a","http://www.nasdaq.com/symbol/nvx",
"NZH","Nuveen California Dividend Advantage Municipal Fund 3","13.11","$316.63M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nzh",
"NCB","Nuveen California Municipal Value Fund 2","16.43","$54.02M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ncb",
"CFD","Nuveen Diversified Commodity Fund","10.64","$96.26M","2010","n/a","n/a","http://www.nasdaq.com/symbol/cfd",
"NXZ","Nuveen Dividend Advantage Municipal Fund 2","13.44","$396.19M","2001","n/a","n/a","http://www.nasdaq.com/symbol/nxz",
"NZF","Nuveen Dividend Advantage Municipal Fund 3","13.68","$538M","2007","n/a","n/a","http://www.nasdaq.com/symbol/nzf",
"NVG","Nuveen Dividend Advantage Municipal Income Fund","13.86","$369.56M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nvg",
"CTF","Nuveen Long/Short Commodity Total Return Fund","16.27","$265.95M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ctf",
"NOM","Nuveen Missouri Premium Income Municipal Fund","14.81","$34.56M","1993","n/a","n/a","http://www.nasdaq.com/symbol/nom",
"NMZ","Nuveen Municipal High Income Opportunity Fund","13.6","$681.06M","2003","n/a","n/a","http://www.nasdaq.com/symbol/nmz",
"NJV","Nuveen New Jersey Municipal Value Fund","14.04","$21.76M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/njv",
"NYV","Nuveen New York Municipal Value Fund 2","14.423","$33.89M","2009","n/a","n/a","http://www.nasdaq.com/symbol/nyv",
"NPN","Nuveen Pennsylvania Municipal Value Fund","14.761","$18M","2009","n/a","n/a","http://www.nasdaq.com/symbol/npn",
"JRS","Nuveen Real Estate Fund","10.19","$294.41M","2001","n/a","n/a","http://www.nasdaq.com/symbol/jrs",
"OGEN","Oragenics, Inc.","2.56","$93.38M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ogen",
"TIS","Orchids Paper Products Company","25.49","$261.76M","2005","Basic Industries","Paper","http://www.nasdaq.com/symbol/tis",
"ONVO","Organovo Holdings, Inc.","2.53","$233.84M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/onvo",
"ONP","Orient Paper, Inc.","1.74","$35.35M","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/onp",
"OSGB","Overseas Shipholding Group, Inc.","3.53","$24.31M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/osgb",
"ORM","Owens Realty Mortgage, Inc.","13.99","$147.47M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/orm",
"PHF","Pacholder High Yield Fund, Inc.","6.527","$84.83M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/phf",
"PBM","Pacific Booker Minerals Inc","1.4499","$17.93M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/pbm",
"PCG^A","Pacific Gas & Electric Co.","28.77","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^a",
"PCG^B","Pacific Gas & Electric Co.","26.89","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^b",
"PCG^C","Pacific Gas & Electric Co.","25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^c",
"PCG^D","Pacific Gas & Electric Co.","24.312","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^d",
"PCG^E","Pacific Gas & Electric Co.","24.28","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^e",
"PCG^G","Pacific Gas & Electric Co.","23.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^g",
"PCG^H","Pacific Gas & Electric Co.","22.38","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^h",
"PCG^I","Pacific Gas & Electric Co.","22.828","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^i",
"PTN","Palatin Technologies, Inc.","0.8263","$109.27M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ptn",
"PARR","Par Petroleum Corporation","18.56","$688.75M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/parr",
"PZG","Paramount Gold Nevada Corp.","1.24","$10.56M","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/pzg",
"PRK","Park National Corporation","82.13","$1.26B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/prk",
"PED","Pedevco Corp.","0.325","$14.37M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ped",
"PFNX","Pfenex Inc.","20.46","$474.53M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pfnx",
"PIP","PharmAthene, Inc","1.47","$94.41M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pip",
"HNW","Pioneer Diversified High Income Trust","15.03","$125.24M","2007","n/a","n/a","http://www.nasdaq.com/symbol/hnw",
"PLG","Platinum Group Metals Ltd.","0.265","$203.77M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/plg",
"PLM","Polymet Mining Corp.","0.8656","$239.41M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/plm",
"PW","Power REIT","4.74","$8.21M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/pw",
"PW^A","Power REIT","25.85","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pw^a",
"PLX","Protalix BioTherapeutics, Inc.","1.46","$137.46M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/plx",
"PVCT","Provectus Biopharmaceuticals, Inc.","0.4525","$92.56M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pvct",
"PVCT.WS","Provectus Biopharmaceuticals, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pvct.ws",
"RLGT","Radiant Logistics, Inc.","5.86","$246.33M","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/rlgt",
"RLGT^A","Radiant Logistics, Inc.","26.772","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rlgt^a",
"REE","Rare Element Resources Ltd.","0.3798","$20.11M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ree",
"UTG","Reaves Utility Income Fund","27.76","$805.44M","2004","n/a","n/a","http://www.nasdaq.com/symbol/utg",
"REED","Reeds, Inc.","5.15","$67.58M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/reed",
"RWC","RELM Wireless Corporation","4.46","$61.18M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/rwc",
"RCG","RENN Fund, Inc.","1.08","$4.82M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rcg",
"RVP","Retractable Technologies, Inc.","3.82","$106.44M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/rvp",
"RNN","Rexahn Pharmaceuticals, Inc.","0.564","$101.91M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rnn",
"RIC","Richmont Mines, Inc.","2.48","$143.92M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ric",
"REI","Ring Energy, Inc.","10.19","$309.69M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rei",
"RIF","RMR Real Estate Income Fund.","17.53","$134.13M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rif",
"RBY","Rubicon Minerals Corp","0.7421","$292.95M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/rby",
"SGA","Saga Communications, Inc.","34.5","$200.46M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/sga",
"SSN","Samson Oil & Gas Limited","0.65","$9.22M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssn",
"SPP","Sanchez Production Partners LP","7.2","$22.68M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/spp",
"SAND          ","Sandstorm Gold Ltd","2.61","$308.54M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/sand          ",
"SEB","Seaboard Corporation","3149","$3.69B","1996","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/seb",
"SVT","Servotronics, Inc.","6.9601","$16.97M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/svt",
"SIF","SIFCO Industries, Inc.","13","$70.82M","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/sif",
"SVLC","SilverCrest Mines, Inc.","0.839","$99.63M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/svlc",
"SKY","Skyline Corporation","3.27","$27.44M","n/a","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/sky",
"SLI","SL Industries, Inc.","34.5","$136.62M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/sli",
"XPL","Solitario Exploration & Royalty Corp","0.5","$19.62M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/xpl",
"SCE^B","Southern California Edison Company","22.196","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^b",
"SCE^C","Southern California Edison Company","22.87","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^c",
"SCE^D","Southern California Edison Company","23.44","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^d",
"SCE^E","Southern California Edison Company","23.81","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^e",
"SGB","Southwest Georgia Financial Corporation","15.1038","$38.48M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sgb",
"LOV","Spark Networks, Inc.","3.17","$79.78M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/lov",
"STRP","Straight Path Communications Inc.","22.1","$264.6M","2013","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/strp",
"SSY","SunLink Health Systems, Inc.","1.79","$16.9M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/ssy",
"SDPI","Superior Drilling Products, Inc.","1.61","$27.84M","2014","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/sdpi",
"STS","Supreme Industries, Inc.","8.49","$141.63M","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/sts",
"SYRG","Synergy Resources Corporation","9.96","$1.05B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/syrg",
"SYN","Synthetic Biologics, Inc","2.5","$221.29M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/syn",
"TRX","Tanzanian Royalty Exploration Corporation","0.3098","$33.29M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/trx",
"TGB","Taseko Mines Limited","0.4694","$104.12M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tgb",
"TAS","Tasman Metals Ltd","0.3739","$24.73M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tas",
"TRC.WS","Tejon Ranch Co","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/trc.ws",
"TIK","Tel-Instrument Electronics Corp.","4.69","$15.27M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/tik",
"TGC","Tengasco, Inc.","0.23","$13.99M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tgc",
"GLU","The Gabelli Global Utility and Income Trust","16.41","$67.47M","2004","n/a","n/a","http://www.nasdaq.com/symbol/glu",
"GLU^A","The Gabelli Global Utility and Income Trust","50.56","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/glu^a",
"TXMD","TherapeuticsMD, Inc.","6.22","$1.1B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/txmd",
"TPI","Tianyin Pharmaceutical Co., Inc.","0.2701","$7.95M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/tpi",
"TLR","Timberline Resources Corporation","0.3","$2.97M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tlr",
"TGD","Timmons Gold Corp","0.2755","$78.51M","2011","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tgd",
"TOF","Tofutti Brands Inc.","4.37","$22.52M","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/tof",
"TMP","Tompkins Financial Corporation","50.99","$761.9M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/tmp",
"TAT","Transatlantic Petroleum Ltd","2.81","$115.23M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tat",
"TRXC","TransEnterix, Inc.","2.57","$217.31M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/trxc",
"TPLM","Triangle Petroleum Corporation","3","$226.16M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tplm",
"TRT","Trio-Tech International","2.42","$8.5M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/trt",
"HTM","U.S. Geothermal Inc.","0.605","$65.09M","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/htm",
"UFAB","Unique Fabricating, Inc.","12.395","$117.4M","2015","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ufab",
"UAMY","United States Antimony Corporation","0.52","$34.43M","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/uamy",
"UUU","Universal Security Instruments, Inc.","5.1","$11.8M","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/uuu",
"UQM","UQM TECHNOLOGIES INC","0.88","$35.68M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/uqm",
"URG","Ur Energy Inc","0.645","$83.97M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/urg",
"UEC","Uranium Energy Corp.","1.13","$104.61M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/uec",
"VTG","Vantage Drilling Company","0.0675","$20.99M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vtg",
"VSR","Versar, Inc.","3.16","$31M","1986","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/vsr",
"VII","Vicon Industries, Inc.","1.55","$14.27M","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/vii",
"VHC","VirnetX Holding Corp","3.31","$173.32M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/vhc",
"VGZ","Vista Gold Corporation","0.28","$23.07M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/vgz",
"VNRX","VolitionRX Limited","3.69","$66.64M","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/vnrx",
"VISI","Volt Information Sciences, Inc.","9.5","$196.74M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/visi",
"EAD","Wells Fargo Advantage Income Opportunities Fund","7.77","$551.54M","2003","n/a","n/a","http://www.nasdaq.com/symbol/ead",
"ERC","Wells Fargo Advantage Multi-Sector Income Fund","11.7","$492.04M","2003","n/a","n/a","http://www.nasdaq.com/symbol/erc",
"ERH","Wells Fargo Advantage Utilities and High Income Fund","10.69","$98.68M","2004","n/a","n/a","http://www.nasdaq.com/symbol/erh",
"SBI","Western Asset Intermediate Muni Fund Inc","9.7001","$136.55M","1992","n/a","n/a","http://www.nasdaq.com/symbol/sbi",
"WRN","Western Copper and Gold Corporation","0.3233","$30.45M","2011","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/wrn",
"WYY","WidePoint Corporation","1.02","$84.17M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/wyy",
"WTT","Wireless Telecom Group,  Inc.","1.84","$36.11M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/wtt",
"YUMA","Yuma Energy, Inc.","0.46","$32.93M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/yuma",
"YUMA^A","Yuma Energy, Inc.","10.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/yuma^a",
